,product_name
199,puré auchan maçã morango 360 g (4 x
200,iogurte auchan aroma baunilha 4x
201,açúcar sidul branco granulado papel
202,bolacha auchan maria dourada 4x
203,bolacha aros auchan cobertas com chocolate preto 128 g
204,azeitona preta auchan sem caroço em lata 350(150)g
205,queijo agros flamengo fatias
206,iogurte auchan líquido morango e banana
207,queijo mozzarella auchan fatias 200 g
208,arroz estufado auchan extra longo
209,iogurte longa vida líquido morango e banana 4x
210,iogurte auchan pedaços pêssego 4x
211,leite magro uht mimosa sem lactose +proteina 1 lt
212,ervilhas polegar
213,wraps auchan 6 tortillas de trigo
214,iogurte auchan baunilha com bolitas choco 2x
215,atum posta santa catarina ao natural 120(84)g
216,delicias do mar auchan sem glúten
217,queijo mini babybel light
218,bolacha auchan sandwich cacau
219,molho auchan béchamel
220,feijão branco auchan cozido 820(520)g
221,queijo castelões fatias 2x
222,leite auchan com chocolate
223,mini pao hamburguer roberto
224,leite matinal uht especial meio gordo
225,gelatina auchan morango 4x
226,folhas auchan de arroz
227,leite mimosa com chocolate 4x
228,pão bimbo de forma sandwiche familiar
229,queijo mini babybel 240 g
230,azeitona preta auchan inteira oxidada 350(210)g
231,doce auchan extra 50% frutos pêssego
232,feijão compal da horta frade
233,manteiga primor com sal
234,iogurte auchan líquido magro manga 4x
235,farinha de trigo branca de neve fina
236,caldo knorr vitalie galinha 8 cubos
237,ovos polegar classe m meia dúzia
238,ovos matinados do campo classe m e l meia dúzia
239,macarrão riscado auchan
240,massa milaneza letras
241,queijo flamengo auchan à mesa em portugal fatias açores
242,queijo campainha mozzarella ralado
243,ketchup auchan top down
244,tortitas auchan arroz com sal
245,iogurte auchan líquido magro morango e cereais 4x
246,calendário advento kinder 3d
247,iogurte oikos danone grego café 4x
248,polpa de tomate auchan manjericão e oregãos
249,iogurte auchan grego natural açúcarado 4x
250,doce auchan extra 50% frutos morango
251,massinhas auchan pevides #
252,queijo flamengo polegar fatias
253,espinafres auchan folhas porções
254,sal auchan de mesa
255,atum ao natural auchan 185(130)g
256,tremoço auchan extra taça pl
257,nuggets de peito frango auchan
258,iogurte auchan grego com pedaços de morango 4x
259,puré auchan multifrutos aroma (g
260,sargo kg
261,iogurte auchan líquido morango
262,feijão auchan verde redondo cortado
263,queijo terra nostra fatias light 2x
264,cereais auchan cao flakes com chocolate
265,iogurte auchan grego stracciatella 4x
266,glutamato ajinomoto
267,manteiga matinal light - 45% gordura
268,vinagre oliveira da serra pêra
269,bifidus danone activia líquido lima e limão 0% 4x
270,tortitas auchan milho com sal
271,leite milhafre uht pastagem meio gordo
272,massa auchan espirais integrais
273,arroz basmati auchan extra longo
274,iogurte líquido magro mimosa morango framboesa pack poupança 8x
275,pasta pimento obap gochujang
276,canela auchan em pau
277,óleo alimentar fula
278,oregãos picados auchan desidratados frasco 9 g
279,cogumelos inteiros auchan 185(105)g
280,iogurte oîkos danone grego natural 4x
281,queijo edam auchan fatias 150 g
282,infusão auchan tília
283,azeitonas pretas auchan rodelas em frasco 230(105)g
284,iogurte liquido mimosa morango banana pack poupança 8x
285,arroz basmati cigala brajma
286,iogurte liquido mimosa frutos vermelhos pack poupança 8x
287,grão compal da horta cozido
288,gelatina auchan morango 0% de açúcar 4x
289,iogurte liquido danone morango poupança 8x
290,queijo milhafre fatias 200 g
291,bolacha auchan aveia
292,sopa auchan de cebola
293,madalenas aurora laranja 420 g
294,açúcar auchan mascavado
295,mostarda auchan top down
296,leite mimosa uht meio gordo 0% lactose 4x
297,louro auchan em folha
298,queijo parmiggiano dop auchan à mesa em itália ralado
299,bolacha saborosa belga chocolate
300,leite uht gresso meio gordo 1 l
301,polpa de tomate guloso 3x
302,batatas auchan fritas em azeite
303,tomate auchan triturado sem sal 800 g
304,pipocas auchan doces
305,iogurte grego mimosa batido stracciatella 4x
306,ovos auchan galinhas solo classe xl meia dúzia
307,douradinhos peixe polegar pré-fritos ( g)
308,colorau-pimentão auchan doce
309,gelatina auchan ananás
310,infusão auchan camomila
311,bolacha auchan tostada 4x
312,pão ralado auchan
313,feijão frade auchan cozido 820(520)g
314,iogurte auchan baunilha com estrelitas choco 2x
315,sal saldomar cristal iodado
316,batatas auchan pré fritas classic óleo girassol
317,milho doce auchan em grão 340(285)g
318,pão bimbo de leite
319,bolachas polegar com tablete chocolate de leite
320,flocos cereais nestum mel 600 g
321,filete cavala fides em azeite 120(84)g
322,alho auchan francês rodelas
323,vinagre cristal vinho branco
324,iogurte grego margui natural light
325,tomate auchan cubos
326,iogurte mimosa aroma morango ananás banana 8x
327,puré de batata mouseline
328,iogurte auchan grego natural 4x
329,iogurte danone aroma natural 8x
330,cogumelos laminados auchan condimentos 355(220)g
331,fruta compal essencial manga 3x
332,azeite quinta do monte virgem extra
333,bolacha gullon wafer barquinata
334,gelatina auchan tutti frutti
335,massas curvas auchan riscadas
336,línguas auchan de gato crocante canela limão
337,cereais galaxy auchan trigo e milho c/mel
338,pasta de miso hikari branca
339,caldo auchan galinha
340,pão rústico the rustik bakery massa mãe 450 g
341,azeitonas verdes auchan rodelas em frasco 230(105)g
342,feijão compal da horta branco
343,leite vigor pasteurizado especial gordo
344,infusão tetley cidreira
345,medalhões pescanova salmão
346,batatas lisas lay's sal
347,barras de cereais polegar chocolate preto amendoins
348,salsichas de aves auchan frasco 420 (250)g
349,queijo cheddar auchan fatias 150 g
350,azeitona verde auchan recheada c/pimento 350(200)g
351,filetes auchan pescada msc panados
352,pão auchan hot-dog
353,leite em pó nestlé nido
354,queijo fresco auchan light 2x
355,queijo flamengo terra nostra barra kg
356,bolacha auchan waffer recheio chocolate
357,mistura auchan chinesa
358,douradinhos iglo peixe
359,oregãos margão folhas frasco
360,leite auchan de coco
361,iogurte longa vida líquido morango 4x
362,iogurte auchan líquido magro morango
363,arroz vaporizado cigala extra longo
364,chocolate pantagruel culinária
365,cebola auchan picada frasco
366,manteiga primor sem sal
367,cabaz de natal felicidade
368,manteiga gresso com sal
369,esparguete pasta lusso
370,iogurte auchan magro pedaços morango 4x
371,filete cavala auchan em óleo de girassol 90(65)g
372,ervilhas extra finas auchan cozidas em lata 400(280)g
373,bolacha artiach mini dinos choco
374,iogurte proteina yopro natural
375,bebida auchan soja sem açúcares
376,óleo fula especial fritura
377,bebida alpro de amêndoa sem açúcar
378,margarina auchan vegetal 3-4 com sal
379,condimento auchan de mostarda
380,pimenta auchan branca moida frasco 36 g
381,creme vegetal becel p/barrar sabor a manteiga
382,alho margão moído r
383,infusão auchan cidreira
384,arroz agulha saludães extra longo
385,bolachas auchan sandwish tubo cacau
386,iogurte grego yaos stracciatella 4x
387,leite mimosa uht meio gordo 3x
388,pudim auchan+ proteína baunilha
389,iogurte oikos danone grego maracujá 4x
390,pão panrico forma sem côdea económico
391,batata frita ruffles ondulada sal
392,queijo fresco light paiva leve 4 pague 3 4x
393,queijo creme philadelphia regular
394,creme vaqueiro vegetal culinária clássico
395,iogurte auchan líquido natural açúcarado 4x
396,queijo fresco auchan para barrar light 200 g
397,leite agros uht meio gordo
398,farinha tipo 00 caputo
399,batatas auchan fritas lisa girassol
400,mistura auchan couve flor bróculos e romanesco
401,gelatina royal ananas 0% de açúcar g
402,iogurte auchan líquido ananás e côco
403,infusão auchan lúcia-lima
404,sal marnoto marinho tradicional
405,esparregado auchan
406,sal saldomar cristal
407,iogurte auchan magro aroma morango 4x
408,bolacha auchan digestive chocolate
409,frango moelas congeladas 1 kg
410,puré auchan maçã 360 g (4 x
411,cereais auchan pétalas com chocolate
412,óleo alimentar fula
413,queijo fresco auchan 4x
414,caril auchan frasco 42 g
415,esparguete milaneza
416,iogurte auchan magro aroma côco 4x
417,leite agros com chocolate 8x
418,batatas fritas ruffles onduladas
419,iogurte magro liquido mimosa ananás/coco 4x
420,tomate pelado cirio cubos
421,ervilhas auchan extrafinas
422,iogurte auchan copo de vidro com pedaços amora 2x
423,cereais auchan corn flakes flocos de milho
424,paçoquita santa helena doce
425,donuts classic glacé
426,natas mimosa uht
427,pudim auchan+proteína cacau
428,batatas auchan fritas onduladas sabor churrasco
429,bolos auchan com pepitas chocolate 8x
430,massa milaneza laços farfalle
431,mimos pescanova de pescada do cabo
432,nuggets iglo frango
433,ervilhas e cenoura auchan baby
434,cebolinho picado auchan em frasco
435,feijao compal da horta manteiga
436,tainha kg
437,gelatina auchan ananás 4x
438,milho doce bonduelle (140)g
439,croissants auchan
440,feijão compal da horta frade
441,pão panrico de forma sem côdea familiar
442,arroz agulha cigala
443,batatas fritas lay's lisas mediterrâneas
444,pudim+proteína auchan banana
445,ovos saborosos classe m uma dúzia
446,bolacha auchan cracker com sal
447,ketchup heinz top down
448,bolacha auchan shortcake
449,salsa margão folhas
450,pudim+proteína auchan caramelo
451,queijo de vaca auchan curado g
452,batatas polegar pré fritas
453,bolo bollycao recheado
454,cápsulas café auchan comp dg expresso intenso int. 9
455,queijo a vaca que ri palitos 4x
456,azeitona verde qampo s/caroço frasco 370(160)g
457,tapioca da terrinha hidratada branca
458,batatas fritas lay's gourmet
459,meia baguete -25% sal
460,atum em azeite bom petisco 120(78)g
461,azeitona mista auchan com orégãos taça 520(300)g
462,tempero dom duarte massa de alho
463,leite terra nostra pastagem meio gordo
464,croquetes auchan para o forno
465,amendoim auchan com sal 250 g
466,bolacha gullon wafer barquichoco
467,ananás rodelas auchan em sumo natural (340) g 560 g
468,milho auchan doce
469,iogurte auchan copo de vidro com pedaços morango 2x
470,palmiers auchan
471,pipocas doces werther's caramelo
472,perninhas de frango congelado embalagem familiar
473,skyr auchan 0% +proteína morango
474,queijo campainha flamengo fatiado
475,polpa compal da horta tomate
476,pão ralado panko kikkoman japonês
477,pimenta preta auchan moída em frasco
478,queijo de cabra auchan fatias 150 g
479,topokki matamun bolo de arroz
480,esparguete nacional +10%grátis
481,manteiga ghee khanum clarificada
482,vinagre gallo vinho branco
483,grão compal da horta cozido
484,bolacha cuétara flakes recheada chocolate
485,massa nacional espirais com vegetais
486,napolitanas dulcesol chocolate
487,queijo fresco auchan meio gordo sem lactose 2x
488,tortilhas auchan trigo
489,leite auchan magro açores
490,queijo parmigiano reggiano dop auchan á mesa em itália cura 22 meses
491,arroz polegar longo comum
492,batatas auchan fritas ondulada girassol
493,jardineira auchan
494,tarteletes auchan de morango
495,cereais flakes auchan com chocolate negro
496,gelado auchan mini palito sortido 8x
497,pão panrico forma integral receita económica
498,batata auchan pré fritas classic óleo girassol
499,salmão royal greenland porções
500,bebida amêndoas auchan sem açúcares
501,croutons auchan com azeite e sal
502,fruta compal essencial kids 3x
503,infusão tetley cidreira
504,salsicha polegar receita alemã 390(260)g
505,cogumelos laminados auchan 780(420)g
506,sardinhas auchan azeite 120(84)g
507,queijo edam auchan sem lactose fatias
508,iogurte liquido mimosa frutos tropicais 4x
509,cereais auchan muesli frutos secos
510,cereais nestlé chocapic 625 g
511,leite auchan condensado magro
512,barra cereais tekmar jelly juicy laranja 40 g
513,filete atum santa catarina c/ manjericao 120(84)g
514,batatas fritas lay's lisas sal
515,iogurte magro corpos danone mor/kiwi 8x
516,bolacha auchan manteiga coberta chocolate leite
517,bebida aveia barista auchan sem adição de açúcares
518,pão de queijo de marchi sem gluten
519,infusão auchan cidreira com aroma de mel
520,pêssego auchan metades em calda 410 (235)g
521,aperitivo auchan tex mex sabor queijo
522,palitos bolacha auchan cob choc branco
523,tomilho folhas margão saqueta papel
524,leite tai de côco
525,capsulas de café auchan em aluminio compatíveis com máquinas nespresso expresso intense
526,pêssego auchan metades em calda 850(475)g #
527,cream cracker auchan 3x
528,feijão encarnado compal da horta
529,iogurte yoco líquido frutas variadas 6x
530,curgetes auchan em rodelas
531,queijo campainha flamengo ralado
532,massa auchan esparguete integral
533,leite agros com chocolate 4x
534,tempero dom duarte massa pimentão
535,manteiga primor com sal em papel
536,pão oroweat bimbo 12 cereais sementes
537,iogurte corpos danone magro morango pack promocional 8x
538,caldo knorr culinário 16 cubos
539,caldo auchan legumes
540,lagartos auchan
541,pudim mandarim flan
542,miolo camarão selvagem frumar 20/40 ultracongelado 400 gr
543,iogurte activia bifidus cremoso coco 4x
544,amendoim auchan sem sal 200 g
545,salsichas nobre i 380(250)g
546,baguete auchan alho
547,gelado auchan baunilha e amêndoa 4x
548,filetes auchan pescada do cabo msc
549,paprika auchan em pó frasco
550,bolacha lotus caramelizada
551,azeite oliveira da serra harmonioso
552,bolacha auchan recheada genovesa framboesa chocolate
553,iogurte yoco líquido morango 6x
554,tostas auchan finas trigo com sésamo sem óleo palma
555,chá auchan bio matcha frasco origem japão
556,pickles auchan 350(210)g
557,creme vegetal planta para barrar sabor manteiga
558,queijo creme philadelphia light 270 gr
559,chá tetley preto descafeinado
560,bolachas saborosa belgas
561,iogurte danone líquido morango e banana 4x
562,cabaz de natal admiraçao
563,iogurte yoggi líquido tutti frutti 8x
564,iogurte magro liquido mimosa morango/kiwi 4x
565,queijo camembert auchan
566,barras de cereais auchan frutos vermelhos 129 g
567,iogurte oikos grego com pedaços ananás 4x
568,bebida auchan arroz sem glúten
569,iogurte oikos danone grego caramelo 4x
570,queijo fresco auchan natural 2x
571,massa nacional espirais
572,salsichas alemãs auchan fumadas s/pele 375(250)g
573,queijo gouda auchan sem lactos fatias
574,maionese heinz top down
575,caldo auchan carne
576,iogurte liquido mimosa morango 4x
577,azeitona verde auchan sem caroço taça 520(230)g
578,bolachas salutem marinhas linhaça
579,iogurte mimosa aroma morango coco e tutti 8x
580,tortitas auchan mini milho com sal
581,farinha pensal cacau
582,bacalhau auchan demolhado lombos
583,iogurte magro liquido mimosa ananas 4x
584,pimenta auchan preta moída
585,pizza auchan extra fina divina 4 formaggi
586,peixe postas polegar nº3 cozer
587,coco auchan ralado
588,rissóis camarão auchan p/ forno
589,tomate compal da horta triturado
590,iogurte auchan magro natural 4x
591,leite matinal uht especial magro
592,iogurte auchan pedaços cereais 4x
593,feijão branco polegar frasco 540 (400) g
594,aperitivo sunbites queijocheddar cebola caramelo
595,castanha agroaguiar congelada 100-130
596,filete cavala em azeite auchan baixo teor de sal 115(85)g
597,iogurte nestlé smarties baunilha 2x
598,hamburguer beyond meat vegetal
599,bolacha cuétara maria 4x pack + 33% grátis
600,óleo auchan alimentar
601,tablete lindt excellence arandos e avelã
602,gelado auchan cone nata 6x
603,requeijão de vaca auchan light
604,saquetas fruta go go squeez maçã e pêra 4x
605,bifidus danone activia líquido pêssego e maracujá 0% 4x
606,couscous auchan grãos finos
607,crujitos auchan sabor a queijo
608,iogurte liquido mimosa frt tropicais 8x
609,feijão compal da horta preto
610,feijão compal da horta encarnado
611,gomas interdoces marshmallows americano
612,barras de cereais polegar chocolate leite e banana
613,salsichas aves nobre frankfurt lata 350(200)g
614,tortitas auchan arroz sem sal
615,azeite oliveira da serra virgem extra clássico
616,café auchan torrado vivace moído máquina intensidade 10
617,batatas lay's fritas forno
618,leite vigor pasteurizado magro
619,massa auchan macarrão integral
620,azeite ouro d'elvas virgem extra especial
621,couve-flor auchan bio
622,queijo castelões sem lactose fatias 2x
623,iogurte yopro líquido morango e framboesa
624,natas frescas president culinária
625,iogurte infantil danonino para levar morango-banana 4x
626,rissois carne auchan p/ forno
627,mousse andros chocolate 4x
628,maionese hellmann's
629,filete cavala auchan em azeite 115(85)g
630,batata doce auchan frita
631,iogurte magro liquido mimosa frutos silvestres 4x
632,gelatina royal limão 0% de açúcar g
633,creme vaqueiro vegetal culinária líquido
634,barras cereais auchan c/chocolate leite
635,leite uht polegar magro
636,gelatina auchan morango
637,bolacha gullon wafer barquilimon
638,couve-flor floretes auchan pré-cozida ultrac.
639,bolo manhazitos planetus pack
640,tortitas salutem milho finíssimas com sal
641,azeite gallo subtil
642,iogurte oîkos danone grego stracciatella 4x
643,bolacha vieira de castro água sal pack 3x
644,bolacha oreo chocolate
645,queijo emmental auchan fatias r
646,feijão auchan preto seco
647,arroz carolino bom sucesso
648,bolacha artiach mini dinos cereais
649,salsichas aves nobre extra suculentas 650(350)g
650,arroz jasmim auchan extra longo
651,fermento auchan em pó
652,canela auchan moida
653,filete de peixe gato riscado congelado
654,manjericão picado auchan desidratado frasco 12 g
655,tomate auchan pelado em pedaços sem sal
656,barras auchan crousty cereais chocolate leite e avelã
657,flocos nestum zero arroz
658,cápsulas buondi nsp original 36 cap
659,pimenta auchan preta moinho
660,bolacha gullon wafer barquicoco
661,arroz carolino saludães
662,bebida láctea mimosa infantil meio gordo 1 a 3 anos uht
663,bolacha artiach dinossauros dinoovos
664,gelatina royal mirtilo 0% de açúcar g
665,bebida auchan amêndoas sem glúten
666,leite mimosa com chocolate bem essencial 4x
667,iogurte oikos grego maçã e canela 4x
668,massa milaneza fusilli espirais tricolores
669,batata mccain p/ airfryer/forno julienne
670,cereais chocapic 900 g
671,iogurte liquido auchan stracciatella
672,noz moscada auchan moida 32 g
673,tablete nestlé chocolate culinária
674,iogurte danone twix
675,pão auchan de forma sem codea integral
676,miolo de camarão polegar
677,massa koka instantânea galinha
678,achocolatado auchan cao kid pó
679,chá cem porcento nº6 sem barriga
680,pães panidor de s.lourenço 6x
681,bacalhau auchan demolhado posta
682,bifidus danone activia líquido manga e papaia 4x
683,infusão auchan bio camomila
684,iogurte actimel infantil morango 12x
685,pao de leite brioche pasquier 350 g
686,leite mimosa uht polpa de morango 4x
687,mel auchan de flores antigota
688,pão bimbo hot-dog
689,queijo fresco auchan para barrar alho e ervas 200 g
690,arroz basmati caçarola
691,cereais auchan recheio chocolate e avelã
692,ameijoa vietnamita congelada kg
693,bifidus danone activia líquido fibras e cereais 4x
694,línguas auchan de veado
695,calendário advento lindt chocolate
696,iogurte corpos danone magro líquido morango e kiwi 4x
697,pão auchan de leite pepitas chocolate
698,massa nacional letras
699,iogurte danone aroma morango banana e tutti frutti 8x
700,bolacha artiach dinosaurus
701,atum posta bom petisco ao natural 120(84)g
702,queijo fundido auchan essencial fatias
703,queijo grana padano dop auchan á mesa em itália cura 12 meses
704,bolachas recheadas gullon magic 220 g
705,sojagurte sojasun limão 4x
706,queijo a vaca que ri light porções
707,cereais fitness 0% açu. adic. mel fibra
708,chá tetley verde mel limão
709,tapioca auchan hidratada
710,pão pachamama sem glúten paleo low carb
711,bolacha saborosa belga de manteiga
712,iogurte nestlé kit kat morango 2x
713,iogurte nestlé smarties morango 2x
714,flan de ovo auchan 4x
715,queijo emmental ralado president
716,milho auchan para pipocas
717,leite vigor pasteurizado meio gordo sem lactose
718,leite terra nostra pastagem magro
719,tremoço auchan extra selecção
720,pudim+proteína auchan avelã
721,massa nacional espirais
722,yofu alpro soja framboesa e amora 4x
723,queijo fresco auchan
724,caldo knorr galinha 16 cubos
725,óleo auchan de girassol
726,pão hambúrguer bimbo com sésamo
727,feijão auchan verde extra fino
728,patê atum la piara escabeche
729,barras auchan crousty cereais com chocolate preto
730,tapioca granulada ferbar
731,bolacha mini chips ahoy pedaços chocolate
732,queijo matinal fresco g
733,nuggets iglo frango
734,açúcar sidul branco
735,bolachas cem porcento marinheiras chia
736,pão bimbo integral
737,cereais nestum mel
738,tosta auchan trigo integral
739,bifidus líquido activia ananás 000% 4x
740,bolacha oreo mini 4x
741,mini tostas auchan trigo
742,amendoim auchan com sal 500 g
743,pastilha auchan elástica menta sem açúcar
744,gelatina auchan sem açúcar ananás 2x
745,oregãos auchan bio em folha frasco
746,hamburgueres auchan 100% bovino
747,ervilhas pequenas auchan extrafinas
748,azeitona verde tremoceira rodelas 360(180)g
749,queijo castelões original fatias 200 g
750,croutons picagrill tostados com tomate e oregãos
751,gressinos auchan
752,bolachas cem porcento mini marinheiras chia
753,tosta pasquier rústica brioche cereais
754,salada auchan russa
755,iogurte aroma bio andechser manga
756,natas mimosa uht culinária
757,maionese latada
758,aperitivo auchan base batata salgado
759,atum posta minerva ao natural 120(84)g
760,iogurte oikos danone grego amora 4x
761,leite mimosa com chocolate meio gordo sem lactose 4x
762,leite auchan condensado cozido
763,bagels bimbo sementes
764,batata pré-fritas auchan quartos com pele
765,queijo babybel mini light
766,patê atum auchan 4x
767,manteiga mimosa sem sal
768,milho doce bonduelle (70)g
769,pera rocha frubis 20 g
770,atum em óleo ramirez 120(86)g
771,legumes auchan para sopa
772,iogurte líquido+proteína auchan banana
773,bolacha artiach filipinos choc leite
774,fruta compal essencial pêra 3x
775,azeitona verde inteira auchan manzanilha sem caroço 180(75)g
776,molho auchan piri-piri
777,cereais auchan muesli chocolate preto e avelãs
778,café auchan solúvel clássico intensidade 8
